name,area,rating,rating_count,cusine,cost_for_two,address,online_order,table_reservation,longitude,latitude
China Garten,Domlur,,,Chinese,400,"Shop 82, Ground Floor, Vasanthappa Garden, 13th G Main, Hal 2nd Stage, Doopanahalli, Domlur, Bangalore",TRUE,FALSE,77.639977,12.965844
Cafe Kaara,Ulsoor,4.3,188,"Cafe, Salad, Desserts, Pizza",750,"29, Ulsoor Road, Opposite Salarpuria Windsor, Ulsoor, Bangalore",FALSE,FALSE,77.61796229,12.9752985
Hyderabad Biryani House,Malleshwaram,4.2,291,"Biryani, Hyderabadi, Chinese",800,"45, Sampige Road, Malleshwaram West, Malleshwaram, Bangalore",FALSE,FALSE,77.57141691,12.99409537
The Coffee Bean & Tea Leaf,MG Road,4,308,Cafe,700,"1st Floor, 1 MG Road Mall, Trinity Circle, Opposite Taj Vivanta, MG Road, Bangalore",TRUE,FALSE,77.62030318,12.97377764
Fly Dining,Nagawara,3.8,137,"Continental, North Indian",14000,"House Of Life, Near Manyata Tech Park, Nagawara, Bangalore",FALSE,FALSE,77.61032805,13.04751336
Pot Biryani,Domlur,3.8,497,"Biryani, North Indian, Chinese",650,"267, Amarjyothi Layout, Near DELL, Domlur, Bangalore",TRUE,FALSE,77.64172934,12.95472143
OKI,Kammanahalli,4.4,488,"Asian, European, Italian, Korean, Malaysian, Thai, Sushi, Chinese",1200,"403, Near Sena Vihar, Off Kammanahalli Main Road, Kammanahalli, Bangalore",TRUE,TRUE,77.63739791,13.02210719
Shanghai Court,Whitefield,,,"Chinese, Thai",700,"101/9, Near HP Petrol Pump, Opposite Sai Garden, Hoskote Main Road, Kadugodi, Seegehalli, Whitefield, Bangalore",TRUE,FALSE,77.758709,13.008671
Dolphin Bar,Frazer Town,3.8,69,"Chinese, Finger Food, North Indian, Seafood",1000,"131/2, Wheeler Road, Cox Town, Frazer Town, Bangalore",FALSE,FALSE,77.61967253,12.99685687
Amintiri,Indiranagar,4,63,"Bakery, Desserts",600,"No 15, Zatakia Centre, 100 Feet Road, Defence Colony, Indiranagar, Bangalore",TRUE,FALSE,77.641283,12.976348
The Lounge - Eden Park Restaurants,Jayanagar,3.7,157,"North Indian, Afghan",1350,"Eden Park Restaurants, 722/2, 36th Cross, 10th A Main, Near Telephone Exchange, 4th Block, Jayanagar, Bangalore",FALSE,TRUE,77.58534327,12.92354171
Apsara Ice Creams,HSR,4.5,264,"Ice Cream, Desserts",400,"1782, Opposite Namma Shuttle, 19th Main, Sector 1, HSR, Bangalore",FALSE,FALSE,77.64477264,12.91474553
Bflat Bar,Indiranagar,4,876,"North Indian, Chinese, Continental, Bengali",1600,"776, Above Kotak Mahindra Bank, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",FALSE,TRUE,77.64117412,12.96884252
Hao Chi,New BEL Road,,,"Vietnamese, Chinese, Thai, Burmese, Japanese, Indonesian",450,"17/A, Samruddhi Nest, 3rd Block, RMB Extension, New BEL Road, Bangalore",TRUE,FALSE,77.567673,13.035255
Bangaliana,Marathahalli,3.7,150,Bengali,600,"35/1B, Munnekolala, Marathahalli, Bangalore",FALSE,FALSE,77.70989131,12.95662176
HOMMS,Brookefield,4.3,335,"Momos, Chinese, Fast Food",300,"Ground floor, Vyjayanthi Mala Complex, Varthur Main Road, Kundenhalli, Behind City Supermarket Bazar, Brookefield, Bangalore",TRUE,FALSE,77.716965,12.956711
Hotel Shri Krishna Star Ambur Biriyani,Kanakapura Road,,,Biryani,300,"Holiday Village Road, Paramount Gardens, Bayyanapalya, Jyotipuram, Kanakapura Road, Bangalore",FALSE,FALSE,77.54316989,12.86962122
Salvadores,MG Road,4.4,254,"Mediterranean, Continental, French, Italian",2000,"5th Floor, Bangalore Central Mall, MG Road, Bangalore",FALSE,TRUE,77.61130504,12.97329409
Puneri Chai,BTM,3.8,17,Tea,100,"17th Main, 8th Cross, 1st Stage, BTM, Bangalore",FALSE,FALSE,77.61101671,12.91966832
Albert Bakery,Frazer Town,4.4,405,"Bakery, Fast Food",150,"93, Mosque Road, Frazer Town, Bangalore",FALSE,FALSE,77.61425816,12.99696892
Mathsya Darshini,Lavelle Road,3.4,64,"Seafood, Mangalorean",350,"KFDC Ltd, Cubbon Park, K.R.Circle, Lavelle Road, Bangalore",FALSE,FALSE,77.58885764,12.97529556
Annapoorni Grand,Majestic,4,93,"Chinese, South Indian, North Indian",450,"3, Adarsh inn, 1st Main Road, Next to Giriyas, Gandhinagar, Majestic, Bangalore",FALSE,FALSE,77.57910512,12.97570951
Srinathji's,Marathahalli,4,696,"North Indian, Chinese, Beverages, Biryani, Rolls, Fast Food",200,"5, KBR Mall Complex, Ground Floor, More Mega Store, Varthur Hobli, Marathahalli, Bangalore",TRUE,TRUE,77.69884095,12.94821068
Hotel Karavali,Majestic,3.7,20,Mangalorean,450,"11/2, 2nd Cross, SC Road, Gandhinagar, Majestic Area, Majestic, Bangalore",FALSE,FALSE,77.57480051,12.97761425
Mangalore Kabab Korner,Vijay Nagar,3.7,22,Kebab,200,"Nagarbhavi Main road, Kaveri Layot, Govindarajanagar., Vijay Nagar, Bangalore",FALSE,FALSE,77.5285485,12.97279062
Muthashy's,BTM,4.1,518,"Kerala, South Indian, Chinese",400,"3, Brindavan Complex, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM Layout",TRUE,FALSE,77.61342768,12.92093756
Sky Bakery and Cafe,Bommanahalli,3.2,7,"Bakery, Cafe",350,"Hongasandra Main Road, Bommanahalli, Bangalore",FALSE,FALSE,77.62828443,12.89977624
Yi Moi Chinese Fast Food,Kalyan Nagar,3.5,8,"Chinese, Fast Food",450,"619, 3rd Cross, Opposite CMR University, HBR, Layout, Kalyan Nagar, Bangalore",FALSE,FALSE,77.64222387,13.01946422
Kesariya,JP Nagar,4.2,1335,Rajasthani,1200,"55, Goenka Chambers, Jeevan Griha Colony, 19th Main, Phase 2, JP Nagar, Bangalore",FALSE,TRUE,77.58973975,12.90663892
French Bakery,BTM,3.3,8,"Desserts, Bakery, Beverages",250,"579, 11th Cross, 26th A Main, BTM Layout 2nd Stage, BTM, Bangalore",FALSE,FALSE,77.61532702,12.91725236
Sri Krishna Sagar,International Airport,3.7,28,"South Indian, North Indian, Chinese",300,"Sadahalli Gate, International Airport, Bangalore",FALSE,FALSE,77.64580294,13.19106591
Mabrouk - The Food Destination,Koramangala 7th Block,3.8,29,"Kerala, Beverages",500,"63, Ambition Arcade, 1st Main Road, KHB Colony, Koramangala 7th Block, Bangalore",TRUE,FALSE,77.61492468,12.93641763
Sri Renuka Tiffanies,Mysore Road,3.6,10,South Indian,100,"Near Bidadi Police Sation, Bidadi, Mysore Road, Bangalore",FALSE,FALSE,77.38338064,12.79666765
